Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
27,Cardiology Consultants/Baptist Health Care Corporation,FL,None,8000,Theft,Desktop Computer,2014-06-30,"A desktop computer that contained the e-PHI of approximately 8,000 individuals was stolen from the covered entity's (CE) locked medical suite.  The PHI involved in the breach included names, dates of birth, medical record numbers, ultrasound information, exam dates, and reasons for the ultrasound.  The computer that was stolen used proprietary software and a special electronic key to access the PHI.  The CE provided breach notification to affected individuals, HHS, and the media and posted substitute notification on its website.  Following the breach, the CE worked with law enforcement to identify the possible suspect.  The CE upgraded its facility access controls to include proximity card readers for every location that stores PHI.  As a result of OCR's investigation the CE updated its risk analysis and carried out additional risk management activities.  



",2009-12-19,Unknown Date,2009,Theft
28,Brooke Army Medical Center,TX,None,1000,Theft,Paper,2014-06-30,"A binder containing the protected health information (PHI) of up to 1,272 individuals was stolen from a staff member's vehicle.  The PHI included names, telephone numbers, detailed treatment notes, and possibly social security numbers.  In response to the breach, the covered entity (CE) sanctioned the workforce member and developed a new policy requiring on-call staff members to submit any information created during their shifts to the main office instead of adding it to the binder.  Following OCR's investigation, the CE notified the local media about the breach.",2009-10-16,Unknown Date,2009,Theft
29,"Cogent Healthcare of Wisconsin, S.C.",TN,None,6400,Theft,Laptop,2014-04-23,"A laptop was stolen from a locked office at the Aurora St. Lukes Medical Center.  The laptop contained protected health information pertaining to 6,400 individuals.  The information included patient names, dates of birth, social security numbers, medical record numbers, and in some cases diagnosis codes.  In response to the theft, the hospital implemented several corrective action measures, including accelerated efforts to encrypt all laptop hard drives, improved physical locks on the office where the theft occurred, staff training regarding the appropriate use and storage of devices containing ePHI, and encryption of portable flash drives and Blackberry devices.",2009-10-11,Unknown Date,2009,Theft
30,Universal American,NY,"Democracy Data & Communications, LLC (",83000,Other,Paper,2014-01-23,"In its breach report and during the course of OCR's investigation, the covered entity advised that it took various corrective actions to prevent a reoccurrence of the breach.  Specifically, the covered entity conducted a risk assessment which revealed that the breach posed a significant risk of financial, reputational, or other harm to the 83,000 members.  The covered entity sent notification letters to 83,000 members apologizing for the breach and offered a year of free credit monitoring and a $25,000 insurance policy against identity theft ($10,000 for New York residents).  The covered entity also provided training to its call centers on November 29, 2009 to answer inquiries from callers concerned about the breach.  In addition, media outlets were contacted to alert of a breach in states in which more than 500 members were impacted by the breach.  The covered entity advised that media outlets were identified based on location of membership impacted, as well as ensuring it was a major media outlet and press releases were sent to 21 major media outlets on December 18, 2009.  The covered entity also created and implemented a new policy titled 'Personal Health Information and Personal Identifiable Information Data Security and Handling Policy Acknowledgement Form'  that centralized all data requests through a 'Team Track'  which is an internal electronic submission request that ensures all PHI requested data receives the sign off of the Privacy Officer and Security Officer prior to release.  Further, the covered entity also provided a mandatory annual computer-based training to all staff in May 2010.

",2009-11-12,Unknown Date,2009,Other
31,City of Hope National Medical Center,CA,None,5900,Theft,Laptop,2014-01-23,"A laptop computer was stolen from a workforce member's car. The laptop computer contained the protected health information of approximately 5,900 individuals. Following the breach, the covered entity encrypted all protected health information stored on lap tops.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and retraining employees.

",2009-09-27,Unknown Date,2009,Theft
32,"Affinity Health Plan, Inc.",NY,None,344579,Theft,Other,2014-05-28,Unknown detailed,2009-11-24,Unknown Date,2009,Theft
33,University of Florida,FL,None,14519,"Theft, Unauthorized Access/Disclosure, Other",Network Server,2014-01-23,Unknown detailed,2009-03-01,2012-10-25,2009,"Theft, Unauthorized Access/Disclosure, Other"
34,Mills-Peninsula Health Services,CA,None,1500,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2009-11-01,Unknown Date,2009,Unauthorized Access/Disclosure
35,Blue Cross & Blue Shield of Rhode Island,RI,None,12000,Theft,Paper,2014-06-30,"A covered entity (CE) donated a file cabinet containing the protected health information (PHI) of 12,000 individuals before cleaning it out.  The PHI included members' names, addresses, telephone numbers, social security numbers, and Medicare identification numbers.  The covered entity (CE) provided breach notification to HHS, the affected individuals, and media, and offered all affected individuals free credit monitoring for a period of one year.  Following the breach, the CE sanctioned the employees involved in the incident and held a mandatory training regarding the HIPAA Privacy and Security Rule for all departments involved in the breach. The CE also revised the policy for office moves.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-12-20,Unknown Date,2009,Theft
36,Motion Picture Industry Health Plans (MPI),CA,None,703,Other,Other,2014-02-14,Unknown detailed,2009-09-23,2011-12-02,2009,Other
37,Molina Healthcare of California,CA,None,11081,Other,Paper,2014-01-23,Unknown detailed,2009-09-23,Unknown Date,2009,Other
38,South Texas Veterans Health Care System,TX,None,1430,"Loss, Improper Disposal",Paper,2014-01-23,Unknown detailed,2009-09-30,Unknown Date,2009,"Loss, Improper Disposal"
39,Kern Medical Center,CA,None,596,Theft,Other,2014-01-23,Unknown detailed,2009-10-31,Unknown Date,2009,Theft
40,The Children's Hospital of Philadelphia,PA,None,943,Theft,Laptop,2014-01-23,Unknown detailed,2009-10-20,Unknown Date,2009,Theft
41,"Keith W. Mann, DDS, PLLC",NC,"Rick Lawson, Professional Computer Services",2000,Hacking/IT Incident,"Desktop Computer, Network Server, Electronic Medical Record",2014-01-23,Unknown detailed,2009-12-08,Unknown Date,2009,Hacking/IT Incident
42,Educators Mutual Insurance Association of Utah ,UT,Health Behavior Innovations (HBI),5700,Theft,Other,2014-01-23,Unknown detailed,2009-12-27,Unknown Date,2009,Theft
43,Center for Neurosciences,AZ,None,1100,Theft,Laptop,2014-01-23,Unknown detailed,2009-12-15,Unknown Date,2009,Theft
44,Missouri Department of Social Services,MO,"InfoCrossing, Inc.",25461,Unauthorized Access/Disclosure,Paper,2014-02-12,Unknown detailed,2009-12-21,2013-06-07,2009,Unauthorized Access/Disclosure
45,Detroit Department of Health and Wellness Promotion,MI,None,10000,Theft,Other Portable Electronic Device,2014-01-23,Unknown detailed,2009-10-22,Unknown Date,2009,Theft
46,BRONX-LEBANON HOSPITAL CENTER,NY,PROFESSIONAL TRANSCRIPTION SERVICES,10930,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2009-09-23,Unknown Date,2009,Unauthorized Access/Disclosure
47,Omaha Construction Industry Health and Welfare Plan,NE,DeBoer & Associates,800,Theft,Laptop,2014-01-23,Unknown detailed,2009-01-11,Unknown Date,2009,Theft
48,"AvMed, Inc.",FL,None,1220000,Theft,Laptop,2014-06-30,"Two laptop computers with questionable encryption (each containing the electronic protected health information (ePHI) of 350,000 individuals) were stolen from the covered entity's (CE) premises.  The types of ePHI involved included demographic and clinical information, diagnoses/conditions, medications, lab results, and other treatment data.  After discovering the breach, the CE reported the theft to law enforcement and worked with the local police to recover the laptops.  As a result of OCR's investigation, the CE developed and implemented new policies and procedures to comply with the Security Rule.  The CE also provided breach notification to all affected individuals, HHS, and the media and placed an accounting of disclosures in the medical records of all affected individuals.",2009-12-10,Unknown Date,2009,Theft
49,University of Tennessee Medical Center,TN,None,8200,Improper Disposal,Paper,2014-01-23,Unknown detailed,2009-09-23,Unknown Date,2009,Improper Disposal
50,"Martin Luther King Jr. Health Center, Inc.",NY,PROFESSIONAL TRANSCRIPTION SERVICES,37000,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2009-09-23,Unknown Date,2009,Unauthorized Access/Disclosure
51,"BlueCross BlueShield of Tennessee, Inc.",TN,None,1023209,Theft,Other,2014-01-23,Unknown detailed,2009-10-02,Unknown Date,2009,Theft
52,Mayo Clinic,MN,None,1740,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,Unknown detailed,2009-07-15,Unknown Date,2009,Unauthorized Access/Disclosure
53,The University of Texas at Arlington,TX,None,27000,Hacking/IT Incident,Network Server,2014-01-23,"A file server at the Office of Health Services was compromised and impermissibly accessed.  The compromise potentially exposed the prescription records of 27,000 individuals to an unauthorized source.  The protected health information involved in the breach included names, addresses diagnostic codes, name of medication prescribed, medication costs and some social security numbers.  Following the discovery of the breach, UTA removed the server from the network, notified the affected individuals and notified local media.  Following the breach, the covered entity also replaced the operating system and implemented additional technical safeguards.  

",2009-02-19,Unknown Date,2009,Hacking/IT Incident
54,"WellPoint, Inc.",IN,None,31700,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2009-11-03,Unknown Date,2009,Hacking/IT Incident
55,"Mid America Kidney Stone Association, LLC",MO,None,1000,Theft,Network Server,2014-05-30,"Five desktop computers containing unencrypted electronic protected health information (e-PHI) were stolen from the covered entity (CE).  Originally, the CE reported that over 500 persons were involved, but subsequent investigation showed that about 260 persons were involved.  The ePHI included demographic and financial information. The CE provided breach notification to affected individuals and HHS.  Following the breach, the CE improved physical security by installing motion detectors and alarm systems security monitoring.  It improved technical safeguards by installing enhanced antivirus and encryption software.  As a result of OCR's investigation the CE updated its computer password policy.  ",2009-09-22,Unknown Date,2009,Theft
56,Alaska Department of Health and Social Services,AK,None,501,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2009-10-12,Unknown Date,2009,Theft
57,"Health Services for Children with Special Needs, Inc.",DC,None,3800,Loss,Laptop,2014-01-23,"A laptop was lost by an employee while in transit on public transportation.  The computer contained the protected health information of 3800 individuals.  The protected health information involved in the breach included names, Medicaid ID numbers, dates of birth, and primary physicians.  In response to this incident, the covered entity took steps to enforce the requirements of the Privacy & Security Rules.  The covered entity has installed encryption software on all employee computers, strengthened access controls including passwords, reviewed and updated security policies and procedures, and updated it risk assessment.  In addition, all employees received additional security training.  

",2009-10-09,Unknown Date,2009,Loss
58,"L. Douglas Carlson, M.D.",CA,None,5257,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity. The Computer contained certain electronic protected health information (ePHI) of 5,257 individuals who were patients of the CE.  The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the covered entity notified all 5,257 affected individuals and the appropriate media; added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules.

",2009-09-27,Unknown Date,2009,Theft
59,"David I. Cohen, MD",CA,None,857,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen from the reception desk area, behind a locked desk area, probably while a cleaning crew had left the main door to the building open and the door to the suite was unlocked and perhaps ajar.  The Computer contained certain electronic protected health information (ePHI) of 857 patients.  The ePHI involved in the breach included names, dates of birth, and clinical information.  Following the breach, the covered entity notified all affected individuals and the media, added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer, added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet, and added administrative safeguards by requiring annual refresher retraining staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place.

",2009-09-27,Unknown Date,2009,Theft
60,"Michele Del Vicario, MD",CA,None,6145,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity.  The Computer contained certain electronic protected health information (ePHI) of 6,145 individuals who were patients of the CE, The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the CE: notified all  6,145 affected individuals and the appropriate media;  added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; all passwords are strong; all computers are password protected; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place. 

",2009-09-27,Unknown Date,2009,Theft
61,"Joseph F. Lopez, MD",CA,None,952,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09. The Computer contained certain electronic protected health information (ePHI) of 952 patients. Following the breach, the covered entity notified all 952 affected individuals and the appropriate media; added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of staff for Privacy and Security Rules. 

",2009-09-27,Unknown Date,2009,Theft
62,"Mark D. Lurie, MD",CA,None,5166,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity.  The Computer contained certain electronic protected health information (ePHI) of 5,166 individuals who were patients of the CE, The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the CE: notified all 5,166 affected indiv's and the appropriate media;  added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; all passwords are strong; all computers are password protected; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place. 

",2009-09-27,Unknown Date,2009,Theft
63,Advanced NeuroSpinal Care,CA,None,3500,Theft,Network Server,2014-04-22,"A computer containing the electronic protected health information (ePHI) of 3,500 individuals was stolen from the office of a covered entity (CE).  The ePHI included patient names, addresses, dates of birth, social security numbers, driver's licenses, claims information, diagnoses, and conditions. As a result of the loss, the CE upgraded the alarm system and replaced the server housing and storage security lock-up.  The CE also notified affected individuals, the media, appropriate government agencies, and law enforcement.  In addition, the CE established an office-based hotline to assist affected individuals.  As a result of OCR's investigation, the CE has implemented regularly scheduled security risk analyses and has installed window bars, roll down shutters, four video surveillance cameras, and other physical security measures to prevent theft.",2009-12-30,Unknown Date,2009,Theft
64,Aspen Dental Care P.C.,CO,None,2500,Theft,Other,2014-06-30,"A computer hard drive containing encrypted patient records was stolen from the covered entity's (CE) safe.  The hard drive contained clinical and demographic information of approximately 2,500 patients.  Following the breach, the CE provided additional training to its staff.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-10-04,Unknown Date,2009,Theft
65,Wyoming Department of Health,WY,None,9023,Unauthorized Access/Disclosure ,Network Server,2014-01-23,Unknown detailed,2009-12-02,Unknown Date,2009,Unauthorized Access/Disclosure 
66,Detroit Department of Health and Wellness Promotion,MI,None,646,Theft,"Laptop, Desktop Computer",2014-01-23,"A desktop and four laptop computers were stolen from the covered entity's locked facility.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, types of services received, and Medicare/Medicaid numbers.Following the breach, the covered entity installed new office door locks with assigned keys, installed security cameras with alarms, and physically secured computers to desks.  The covered entity now stores billing information in its patient management system, and it ensured that no electronic protected health information was stored locally. Additionally, OCR's investigation resulted in the covered entity providing training to workforce members regarding the incident

",2009-11-26,Unknown Date,2009,Theft
67,"University of California, San Francisco",CA,None,610,Other,E-mail,2014-01-23,Unknown detailed,2009-09-22,Unknown Date,2009,Other
68,Daniel J. Sigman MD PC,MA,None,1860,Theft,"Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,"Computer backup tapes containing EPHI for the office practice management program including electronic medical records were stolen from the home of the practice manager on December 11, 2009.   The breach affected approximately 1,860 patients. The protected health information on the tapes contained patients' names, addresses, telephone numbers, dates of birth, insurance information, social security numbers and medical record information.  Following the breach, Sigman took the following voluntary corrective actions: (1) upgraded software application for backup security; implemented a new external backup system in case the server goes down; (2) encryption software was implemented for data contained on both its backup tapes and network storage device; (3) revised its security policy for transporting backup media; backup tapes must now be stored in a lockbox within a locked office in its facility; the revised policy also prohibits the movement of backup tapes from the facility as well as restricts access to the tapes to designated workforce; (4) employees were retrained on the policies and procedures in place and received training on the new policies and procedures for safeguarding backup tapes; (5) notified affected individuals and the media. 

",2009-12-11,Unknown Date,2009,Theft
69,Massachusetts Eye and Ear Infirmary,MA,None,1076,Theft,Other,2014-01-23,Unknown detailed,2009-11-10,Unknown Date,2009,Theft
70,BlueCross BlueShield Association,DC,Service Benefits Plan Administrative Services Corp,3400,Theft,Paper,2014-06-30,"The covered entity's (CE) business associate (BA) incorrectly updated contract holders' addresses and mailed protected health information (PHI) to the wrong address of approximately 3,400 individuals.  The PHI involved included demographic information, explanations of benefits, clinical information, and diagnoses.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  Upon discovery of the breach, the CE obtained assurances that the BA took steps to enforce the requirements of the BA agreement.  Specifically, the BA updated its processes and created an incident tracking report.  In addition, a contract was executed for a new vendor to handle mail address verification. Following OCR's investigation, the BA improved its code review process to catch the system error that caused this incident and instituted a manual quality review process.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2009-10-26,Unknown Date,2009,Theft
71,BlueCross BlueShield Association,DC,Merkle Direct Marketing,15000,Theft,Paper,2014-04-24,"The covered entity's (CE) business associate (BA) mailed protected health information (PHI) of approximately 15,000 individuals to incorrect addresses due to an error in its quarterly address update process.  The mailing contained demographic information, explanations of benefits, clinical information, and diagnoses. Upon discovery of the breach, the CE collected the returned mail and verified that it had not been delivered, and updated its HIPAA policies and procedures. Following OCR's investigation, the CE was able to recover all or nearly all of the misdirected envelopes. ",2009-10-07,Unknown Date,2009,Theft
72,Kaiser Permanente Medical Care Program,CA,None,15500,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2009-12-01,Unknown Date,2009,Theft
73,Blue Island Radiology Consultants,IL,United Micro Data,2562,Theft,Other,2014-06-30,"The covered entity's (CE's) business associate (BA) mailed a package to the CE that was supposed to contain a backup data tape and compact disc containing protected health information (PHI); however, the tape was not in the package when delivered.  Approximately 2,000 individuals were affected by the breach. The PHI included demographic, financial, and clinical information.  The CE provided breach notification to affected individuals, HHS, and the media.  Following the breach, the CE revised its procedures for back up data storage instead of sending tapes via the mail.  Following OCR's investigation, the CE continued to reevaluate ways to enhance administrative, physical, and technical safeguards.

",2009-12-09,Unknown Date,2009,Theft
74,"Goodwill Industries of Greater Grand Rapids, Inc.",MI,None,10000,Theft,Other,2014-01-23,"On December 15, 2009, a safe was stolen from Goodwill's off-site facility, which contained five unencrypted back-up tapes.  The breach affected approximately 10,000 individuals.  The protected health information involved in the breach included full names, addresses, dates of birth, reasons for referral, dates of service, miscellaneous demographics, and, in some cases, Social Security numbers.  The covered entity moved the off-site storage of back-up tapes to a new site controlled by Goodwill.  The tapes are now kept in a commercial grade safe with a combination lock.  The actions taken by Goodwill prior to OCR's formal investigation brought the covered entity into compliance.  

",2009-12-15,Unknown Date,2009,Theft
75,Children's Medical Center of Dallas,TX,None,3800,Loss,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2009-11-19,Unknown Date,2009,Loss
76,Concentra,TX,None,900,Theft,Laptop,2014-01-23,Unknown detailed,2009-11-19,Unknown Date,2009,Theft
77,Advocate Health Care,IL,None,812,Theft,Laptop,2014-01-23,"On November 24, 2009, an Advocate nurse's laptop computer was stolen.  The missing laptop computer contained the protected health information of approximately 812 individuals.  The protected health information involved in the breach included name, address, dates of birth, social security numbers, insurance information, medication, and diagnoses. Following the breach, Advocate specifically addressed mobile device security and accepted use. Additionally, OCR's investigation resulted in Advocate workforce members that use mobile devices are now required to fill out and submit an acknowledgment form that establish proper administrative, technical, and physical security safeguards.  

",2009-11-24,Unknown Date,2009,Theft
78,"University of California, San Francisco",CA,None,7300,Theft,Laptop,2014-01-23,Unknown detailed,2009-11-30,Unknown Date,2009,Theft
